id_area;id_programa;ies;nome_programa;inicio_mestrado;inicio_doutorado;conceito_recomendado;id_instituicao
1;31008011001P9;IMPA-OS;MATEMÁTICA;1962;1962;7;
1;33003017003P5;UNICAMP;MATEMÁTICA;1972;1976;7;
1;33002010007P4;USP;ESTATÍSTICA;1970;1970;7;
1;53001010003P2;UNB;MATEMÁTICA;1971;1975;7;
1;33002010005P1;USP;MATEMÁTICA;1970;1970;6;
1;33002045003P5;USP/SC;MATEMÁTICA;1970;1970;6;
1;31001017003P7;UFRJ;MATEMÁTICA;1970;1972;6;
1;33003017004P1;UNICAMP;MATEMÁTICA APLICADA;1977;1990;5;
1;25001019003P0;UFPE;MATEMÁTICA;1967;1984;5;
1;42001013003P8;UFRGS;MATEMÁTICA;1978;1995;5;
1;31005012003P2;PUC-RIO;MATEMÁTICA;1969;1974;5;
1;33001014007P8;UFSCAR;MATEMÁTICA;1987;1996;5;
1;22001018003P1;UFC;MATEMÁTICA;1965;1995;5;
1;32001010003P0;UFMG;MATEMÁTICA;1971;2001;5;
1;33002010006P8;USP;MATEMÁTICA APLICADA;1970;1970;5;
1;31001017005P0;UFRJ;ESTATÍSTICA;1981;2001;5;
1;33003017006P4;UNICAMP;ESTATÍSTICA;1977;2006;4;
1;33004153071P0;UNESP/SJRP;MATEMÁTICA APLICADA;1998;;4;
1;32001010053P7;UFMG;ESTATÍSTICA;1996;2005;4;
1;25001019048P3;UFPE;ESTATÍSTICA;1996;2007;4;
1;52001016001P3;UFG;MATEMÁTICA;1973;;4;
1;41001010001P6;UFSC;MATEMÃTICA E COMPUTAÃ‡ÃƒO CIENTÃFICA;1976;;4;
1;40004015013P7;UEM;MATEMÁTICA;1999;;4;
1;31003010003P3;UFF;MATEMÁTICA;1969;;4;
1;42001013063P0;UFRGS;MATEMÁTICA APLICADA;1995;2000;4;
1;33004153047P1;UNESP/SJRP;MATEMÁTICA;1989;;4;
1;40001016041P1;UFPR;MATEMÁTICA APLICADA;2002;;4;
1;33001014017P3;UFSCAR;ESTATÍSTICA;1997;2006;3;
1;31001017109P0;UFRJ;MATEMÁTICA APLICADA;1996;;3;
1;24001015035P6;UFPB/J.P.;MATEMÁTICA;1994;;3;
1;26001012015P0;UFAL;MATEMÁTICA;2004;;3;
1;23001011042P0;UFRN;MATEMÁTICA APLICADA E ESTATISTICA;2006;;3;
1;24009016012P7;UFCG;MATEMÁTICA;2003;;3;
1;15001016041P0;UFPA;MATEMÁTICA E ESTATÍSTICA;2004;;3;
1;28001010003P1;UFBA;MATEMÁTICA;1969;;3;
1;12001015015P1;UFAM;MATEMÁTICA;1998;;3;
1;30001013023P5;UFES;MATEMÁTICA;2006;;3;
2;31005012004P9;PUC-RIO;INFORMÁTICA;1967;1975;7;
2;31001017004P3;UFRJ;ENGENHARIA DE SISTEMAS E COMPUTAÃ‡ÃƒO;1971;1971;7;
2;25001019004P6;UFPE;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO;1975;1992;6;
2;32001010004P6;UFMG;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO;1974;1990;6;
2;42001013004P4;UFRGS;COMPUTAÃ‡ÃƒO;1973;1988;6;
2;33003017005P8;UNICAMP;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;1977;1993;6;
2;33002010176P0;USP;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO;1997;1997;6;
2;33002045004P1;USP/SC;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO E MATEMÃTICA COMPUTACIONAL;1974;1996;5;
2;31003010046P4;UFF;COMPUTAÃ‡ÃƒO;1995;2002;5;
2;24009016005P0;UFCG;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;1973;2005;5;
2;31001017110P8;UFRJ;INFORMÁTICA;1997;;5;
2;42005019016P8;PUC/RS;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;1994;2004;4;
2;22001018031P5;UFC;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO;1995;2005;4;
2;40003019004P1;PUC/PR;INFORMÁTICA APLICADA;1996;2006;4;
2;33001014008P4;UFSCAR;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;1988;;4;
2;22002014002P1;UNIFOR;INFORMÁTICA APLICADA;1999;;4;
2;40001016034P5;UFPR;INFORMÁTICA;1996;;4;
2;23001011022P9;UFRN;SISTEMAS E COMPUTAÃ‡ÃƒO;1999;;4;
2;12001015012P2;UFAM;INFORMÁTICA;2001;;4;
2;42007011006P5;UNISINOS;COMPUTAÃ‡ÃƒO APLICADA;2000;;4;
2;51001012012P2;UFMS;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;1999;;4;
2;30001013007P0;UFES;INFORMÁTICA;1994;;4;
2;32006012017P2;UFU;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2001;;4;
2;41001010025P2;UFSC;CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO;1992;;4;
2;32008015011P7;PUC/MG;INFORMÁTICA;2005;;3;
2;24001015047P4;UFPB/J.P.;INFORMÁTICA;2006;;3;
2;25004018011P1;FESP/UPE;ENGENHARIA DA COMPUTAÃ‡ÃƒO;2006;;3;
2;53001010054P6;UNB;INFORMÁTICA;1989;;3;
2;33020019003P0;UNISANTOS;INFORMÁTICA;2004;;3;
2;33007012009P9;UNIMEP;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2000;;3;
2;40004015019P5;UEM;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2002;;3;
2;31007015009P3;IME;SISTEMAS E COMPUTAÃ‡ÃƒO;1971;;3;
2;52001016027P2;UFG;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2004;;3;
2;42006015006P9;UCPEL;INFORMÁTICA;2006;;3;
2;33111014002P5;FEESR;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2002;;3;
2;32002017027P2;UFV;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2004;;3;
2;33004153073P2;UNESP/SJRP;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2006;;3;
2;28013018005P5;UNIFACS;SISTEMAS E COMPUTAÃ‡Ã‚O;2006;;3;
2;15001016047P9;UFPA;CIÃŠNCIA DA COMPUTAÃ‡ÃƒO;2005;;3;
3;33003017002P9;UNICAMP;FÍSICA;1970;1969;7;
3;32001010002P3;UFMG;FÍSICA;1968;1974;7;
3;33002010002P2;USP;FÍSICA;1970;1970;7;
3;25001019002P3;UFPE;FÍSICA;1973;1975;7;
3;33002045002P9;USP/SC;FÍSICA;1975;1975;7;
3;42001013002P1;UFRGS;FÍSICA;1968;1964;7;
3;33002010004P5;USP;ASTRONOMIA;1973;1979;7;
3;31001017002P0;UFRJ;FÍSICA;1972;1979;7;
3;31009018001P5;CBPF;FÍSICA;1962;1962;7;
3;22001018002P5;UFC;FÍSICA;1976;1989;6;
3;33015015001P7;IFT/UNESP;FÍSICA;1971;1971;6;
3;31003010002P7;UFF;FÍSICA;1977;1985;6;
3;24001015002P0;UFPB/J.P.;FÍSICA;1973;1980;5;
3;33001014011P5;UFSCAR;FÍSICA;1988;1991;5;
3;40004015011P4;UEM;FÍSICA;1997;;5;
3;53001010002P6;UNB;FÍSICA;1969;1990;5;
3;40001016020P4;UFPR;FÍSICA;1984;1994;5;
3;23001011010P0;UFRN;FÍSICA;1986;1994;5;
3;41001010020P0;UFSC;FÍSICA;1988;1996;5;
3;31005012002P6;PUC-RIO;FÍSICA;1965;1968;5;
3;40004015016P6;UEM;FÍSICA - UEM/UEL;;2000;4;
3;31013015001P9;ON;ASTRONOMIA;1969;1975;4;
3;30001013005P7;UFES;FÍSICA;1992;2003;4;
3;31004016022P0;UERJ;FÍSICA;1997;2003;4;
3;33010013010P4;INPE;ASTROFÍSICA;1994;1994;4;
3;32005016008P7;UFJF;FÍSICA;1999;2006;4;
3;26001012002P6;UFAL;FÃSICA DA MATÃ‰RIA CONDENSADA;1992;1999;4;
3;42002010019P1;UFSM;FÍSICA;1994;1999;4;
3;33004080051P4;UNESP/GUAR;FÍSICA;1990;1990;4;
3;27001016008P7;FUFSE;FÍSICA;1994;2006;4;
3;32005016023P6;UFJF;FÍSICA  - UFV;;2006;4;
3;33011010001P5;ITA;FÍSICA;1961;1969;4;
3;32006012018P9;UFU;FÍSICA;2002;;4;
3;52001016009P4;UFG;FÍSICA;1992;;4;
3;32002017025P0;UFV;FISICA APLICADA;2001;;4;
3;33051011007P7;UNIVAP;FÍSICA E ASTRONOMIA;2004;;4;
3;40002012014P0;UEL;FÍSICA;1996;;3;
3;28001010002P5;UFBA;FÍSICA;1975;2007;3;
3;20001010013P1;UFMA;FÍSICA;2005;;3;
3;13001019002P0;UFRR;FÍSICA;2006;;3;
3;33004137063P6;UNESP/RC;FÍSICA;2000;;3;
3;32003013006P1;UNIFEI;FÍSICA E MATEMÁTICA APLICADA;2006;;3;
3;40005011008P0;UEPG;CIÃŠNCIAS;2003;;3;
3;50001019012P0;UFMT;FÍSICA;2005;;3;
3;15001016037P3;UFPA;FÍSICA;2002;;3;
3;41002016011P4;UDESC;FÍSICA;2006;;3;
3;12001015006P2;UFAM;FÍSICA;1999;;3;
3;31001017118P9;UFRJ;ASTRONOMIA;2003;;3;
3;51001012004P0;UFMS;FÍSICA;1995;;2;
4;33001014005P5;UFSCAR;QUÍMICA;1980;1987;7;
4;33003017007P0;UNICAMP;QUÍMICA;1972;1972;7;
4;33002010191P0;USP;QUÍMICA;1970;1970;7;
4;33004030072P8;UNESP/ARAR;QUÍMICA;1993;1993;7;
4;42002010012P7;UFSM;QUÍMICA;1985;1993;7;
4;41001010022P3;UFSC;QUÍMICA;1971;1988;7;
4;33002045005P8;USP/SC;FÍSICO-QUÍMICA;1971;1976;6;
4;31001017006P6;UFRJ;QUÃMICA ORGÃ‚NICA;1963;1963;6;
4;25001019036P5;UFPE;QUIMICA;1989;1989;6;
4;32001010005P2;UFMG;QUÍMICA;1967;1969;6;
4;42001013040P0;UFRGS;QUÍMICA;1985;1998;6;
4;33002029031P8;USP/RP;QUÍMICA;1995;1995;5;
4;24001015030P4;UFPB/J.P.;QUIMICA;1986;1999;5;
4;31001017010P3;UFRJ;FÍSICO-QUÍMICA;1973;1991;5;
4;33002045015P3;USP/SC;QUÍMICA (QUÍMICA ANALÍTICA);1985;1989;5;
4;28001010004P8;UFBA;QUIMICA;1968;1992;5;
4;22001018005P4;UFC;QUÃMICA INORGÃ‚NICA;1977;2000;5;
4;31005012005P5;PUC-RIO;QUÃMICA (QUÃMICA ANALÃTICA INORGÃ‚NICA);1969;1971;5;
4;31003010027P0;UFF;QUÃMICA ORGÃ‚NICA;1991;1999;5;
4;40004015002P5;UEM;QUÍMICA;1987;2001;5;
4;53001010005P5;UNB;QUÍMICA;1974;1991;5;
4;40001016026P2;UFPR;QUÍMICA;1991;1999;5;
4;23001011012P3;UFRN;QUIMICA;1990;2002;4;
4;31001017009P5;UFRJ;QUÍMICA DE PRODUTOS NATURAIS;1964;1989;4;
4;22001018004P8;UFC;QUÃMICA ORGÃ‚NICA;1976;1991;4;
4;31001017104P8;UFRJ;QUÃMICA INORGÃ‚NICA;1993;1993;4;
4;31007015003P5;IME;QUÍMICA;1969;1972;4;
4;32005016009P3;UFJF;QUÍMICA;2001;2006;4;
